country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",17-04-2026 19:00,28.54246,77.191651,CO,16,101,36
India,Delhi,Delhi,"ITO, Delhi - CPCB",17-04-2026 19:00,28.628624,77.24106,OZONE,19,72,48
India,Delhi,Delhi,"JNU, Delhi - DPCC",17-04-2026 19:00,28.540721,77.168544,NH3,3,8,5
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",17-04-2026 19:00,28.73282,77.170633,PM2.5,75,430,273
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",17-04-2026 19:00,28.58028,77.233829,PM2.5,40,329,227
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",17-04-2026 19:00,28.5918245,77.2273074,OZONE,21,233,142
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",17-04-2026 19:00,28.611281,77.237738,NH3,14,19,17
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",17-04-2026 19:00,28.647622,77.315809,NH3,8,20,14
India,Delhi,Delhi,"Bawana, Delhi - DPCC",17-04-2026 19:00,28.7762,77.051074,PM10,172,482,354
India,Delhi,Delhi,"Bawana, Delhi - DPCC",17-04-2026 19:00,28.7762,77.051074,CO,26,124,41
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",17-04-2026 19:00,28.493624,77.201159,NO2,6,118,50
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",17-04-2026 19:00,28.563262,77.186937,SO2,34,137,43
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",17-04-2026 19:00,28.563262,77.186937,CO,18,140,45
India,Delhi,Delhi,"Rohini, Delhi - DPCC",17-04-2026 19:00,28.732528,77.11992,NO2,25,169,86
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",17-04-2026 19:00,28.6514781,77.1473105,PM2.5,89,333,258
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",17-04-2026 19:00,28.6514781,77.1473105,PM10,105,304,148
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",17-04-2026 19:00,28.6514781,77.1473105,NO2,49,138,88
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",17-04-2026 19:00,28.6514781,77.1473105,SO2,1,25,14
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",17-04-2026 19:00,28.5504249,77.2159377,PM2.5,72,325,234
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",17-04-2026 19:00,28.5504249,77.2159377,OZONE,12,35,24
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",17-04-2026 19:00,28.710508,77.249485,PM10,107,424,255
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",17-04-2026 19:00,28.710508,77.249485,OZONE,2,96,65
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",17-04-2026 19:00,28.531346,77.190156,NO2,29,136,68
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",17-04-2026 19:00,23.076793,72.627874,SO2,7,62,31
